cpu_usage,cpu_temp,gpu_temp,gpu_usage,gpu_mem,disk_temp,disk_life,disk_spare,label_cpu,label_gpu,label_disk,risk_class
1.5,60.2,72.0,0.0,21.5,37,86.0,100.0,0,0,0,0
1.7,60.2,71.8,0.0,21.5,37,86.0,100.0,0,0,0,0
1.4,60.2,71.8,0.0,21.5,37,86.0,100.0,0,0,0,0
1.8,59.9,71.7,0.0,21.5,37,86.0,100.0,0,0,0,0
1.6,59.5,71.1,0.0,21.5,37,86.0,100.0,0,0,0,0
1.5,59.6,71.1,0.0,21.4,37,86.0,100.0,0,0,0,0
1.5,60.6,71.9,0.0,21.4,37,86.0,100.0,0,0,0,0
2.0,60.8,72.2,0.0,21.4,37,86.0,100.0,0,0,0,0
2.9,61.5,72.2,0.0,21.4,37,86.0,100.0,0,0,0,0
4.6,64.2,73.7,0.0,21.4,37,86.0,100.0,0,0,0,0
2.0,61.7,73.7,0.0,21.4,37,86.0,100.0,0,0,0,0
3.5,62.6,73.2,0.0,21.4,37,86.0,100.0,0,0,0,0
2.1,61.8,73.7,0.0,21.4,37,86.0,100.0,0,0,0,0
3.5,63.1,73.4,0.0,21.4,37,86.0,100.0,0,0,0,0
3.1,63.1,73.8,0.0,21.5,37,86.0,100.0,0,0,0,0
1.6,62.3,74.2,0.0,21.5,37,86.0,100.0,0,0,0,0
1.5,60.9,73.9,0.0,21.5,37,86.0,100.0,0,0,0,0
2.2,62.3,72.5,0.0,21.5,37,86.0,100.0,0,0,0,0
2.4,62.7,73.2,0.0,21.4,37,86.0,100.0,0,0,0,0
2.2,62.4,73.7,0.0,21.4,37,86.0,100.0,0,0,0,0
2.5,63.5,73.6,0.0,21.4,37,86.0,100.0,0,0,0,0
2.3,63.0,74.5,0.0,21.4,37,86.0,100.0,0,0,0,0
1.7,61.9,73.8,0.0,21.4,37,86.0,100.0,0,0,0,0
2.6,63.6,73.5,0.0,21.4,37,86.0,100.0,0,0,0,0
4.9,64.9,74.4,0.0,21.4,37,86.0,100.0,0,0,0,0
5.1,64.9,75.0,0.0,21.6,37,86.0,100.0,0,0,0,0
4.9,64.0,74.9,0.0,21.6,37,86.0,100.0,0,0,0,0
2.4,64.2,74.8,0.0,21.6,37,86.0,100.0,0,0,0,0
3.9,65.0,75.0,0.0,22.0,37,86.0,100.0,0,0,0,0
2.8,64.3,75.5,0.0,21.8,37,86.0,100.0,0,0,0,0
2.2,64.1,75.4,0.0,21.8,37,86.0,100.0,0,0,0,0
3.0,63.6,75.4,0.0,21.8,37,86.0,100.0,0,0,0,0
2.4,64.3,74.8,0.0,21.5,37,86.0,100.0,0,0,0,0
2.9,64.3,75.3,0.0,21.6,37,86.0,100.0,0,0,0,0
1.9,62.8,75.5,0.0,21.6,38,86.0,100.0,0,0,0,0
1.5,62.8,74.4,0.0,21.5,37,86.0,100.0,0,0,0,0
2.4,62.6,74.3,0.0,21.5,37,86.0,100.0,0,0,0,0
1.6,62.5,74.0,0.0,21.4,37,86.0,100.0,0,0,0,0
2.1,63.1,74.3,0.0,21.4,37,86.0,100.0,0,0,0,0
5.1,64.7,74.7,0.0,21.4,37,86.0,100.0,0,0,0,0
1.8,63.1,74.9,0.0,21.4,37,86.0,100.0,0,0,0,0
3.5,64.2,74.5,0.0,21.5,37,86.0,100.0,0,0,0,0
2.8,64.5,75.0,0.0,21.6,38,86.0,100.0,0,0,0,0
3.2,64.8,75.5,0.0,21.6,37,86.0,100.0,0,0,0,0
3.5,65.1,75.8,0.0,21.4,37,86.0,100.0,0,0,0,0
3.4,65.7,75.7,0.0,21.6,37,86.0,100.0,0,0,0,0
3.5,64.5,75.9,0.0,21.6,37,86.0,100.0,0,0,0,0
